adjusted_date,mean_pos_sentiment,mean_neg_sentiment,mean_neutral_sentiment,mean_pos_preamble_sentiment,mean_neg_preamble_sentiment,mean_neutral_preamble_sentiment,News
2022-11-15,0.088724345,0.058579028,0.85269666,0.03962228,0.042983934,0.91739374,Tesla
2023-11-15,0.7762361,0.17928948,0.044474438,0.7247579,0.19673118,0.07851099,Tesla
2021-12-15,0.200556665,0.2273411605,0.572102125,0.1480521209999999,0.2762867065,0.575661165,Tesla
2022-12-15,0.2453764015,0.55494923,0.19967437,0.257512183,0.37560147,0.36688634,Tesla
2022-02-15,0.08761982,0.038889689,0.8734905,0.0603761815,0.0550931175,0.8845307,Tesla
2023-02-15,0.1962807459,0.5027156287,0.3010036239999999,0.1775619582,0.4812655960000001,0.34117244,Tesla
2024-02-15,0.0181921236666666,0.8015431466666666,0.1802647186666666,0.0165945586666666,0.79933044,0.1840750166666666,Tesla
2021-03-15,0.063032575,0.1234225745,0.81354484,0.056548884,0.1328470135,0.8106040999999999,Tesla
2024-03-15,0.014353111,0.93222445,0.0534224,0.012550181,0.9315534,0.05589635,Tesla
2021-04-15,0.055718103,0.48751307,0.456768793,0.03116109,0.4799532669999999,0.4888856865,Tesla
2022-04-15,0.049848598,0.0525850582,0.8975663519999999,0.0326513566,0.0456757576,0.921672892,Tesla
2024-04-15,0.01601137675,0.96306366,0.0209249395,0.03342715725,0.93982315,0.026749688,Tesla
2022-05-15,0.041809075,0.03822877,0.91996217,0.034884885,0.029427199,0.93568796,Tesla
2024-05-15,0.47061692,0.031893153,0.497489905,0.30839594,0.046714923,0.64488916,Tesla
2022-06-15,0.0173626645,0.8359101,0.1467272505,0.0172424115,0.72550084,0.2572567384999999,Tesla
2020-07-15,0.0284526245,0.52095914,0.4505882579999999,0.0273072145,0.510851392,0.4618414285,Tesla
2021-07-15,0.02558114,0.73535526,0.2390636,0.03958801,0.68803036,0.27238163,Tesla
2023-07-15,0.020128215,0.8015268,0.1783449,0.036212325,0.56371427,0.40007338,Tesla
2024-07-15,0.08436955,0.44608262,0.4695478,0.071490996,0.20429458,0.72421443,Tesla
2023-08-15,0.008839117,0.9376058,0.053555083,0.009347075,0.9255993,0.06505362,Tesla
2024-08-15,0.06728766,0.016104242,0.91660815,0.061910003,0.014741439,0.9233486,Tesla
2023-09-15,0.022340455,0.8213180533333334,0.1563415016666667,0.0276238666666666,0.6876294266666667,0.284746713,Tesla
2024-01-16,0.055498376,0.09620873,0.8482929,0.040988155,0.09245321,0.8665586,Tesla
2023-10-16,0.04560817,0.69876295,0.2556289,0.04332784,0.66506004,0.29161212,Tesla
2020-11-16,0.032269247,0.07314062,0.8945902,0.026831845,0.045944527,0.9272236,Tesla
2021-11-16,0.0245360265,0.68838988,0.287074097,0.02707692,0.57568051,0.3972425225,Tesla
2022-11-16,0.1262393345,0.4774232225,0.3963374699999999,0.05744594,0.4383572639999999,0.504196785,Tesla
2023-11-16,0.3829125424999999,0.4907209624999999,0.1263664555,0.413262064,0.484208732,0.10252921,Tesla
2019-12-16,0.12281448,0.74735534,0.12983012,0.099322386,0.6803192,0.22035834,Tesla
2021-12-16,0.049866706,0.024863016,0.92527023,0.052641645,0.0287567915,0.9186016,Tesla
2022-12-16,0.0100578135,0.941099575,0.0488426349999999,0.010779427,0.94425915,0.044961373,Tesla
2023-12-16,0.022341661,0.91781026,0.059848145,0.014766962,0.9384448,0.04678812,Tesla
2021-02-16,0.13255395,0.019203449,0.84824264,0.12042798,0.018253885,0.8613181,Tesla
2023-02-16,0.120222646,0.7839743800000001,0.0958029965,0.0288087495,0.908017575,0.063173681,Tesla
2024-02-16,0.013143101,0.9188972,0.0679597,0.013761978,0.9104305,0.07580764,Tesla
2021-03-16,0.235371665,0.443759554,0.320868805,0.181864561,0.464341015,0.35379442,Tesla
2024-03-16,0.05276031,0.85930216,0.087937586,0.0442212,0.88048965,0.07528916,Tesla
2020-04-16,0.04404376,0.077652514,0.87830377,0.034750137,0.04638345,0.9188664,Tesla
2021-04-16,0.1410557775,0.20748582,0.6514583199999999,0.0936368915,0.175452245,0.73091093,Tesla
2024-04-16,0.0652713465,0.6316221766666666,0.3031064623333333,0.0368838626666666,0.7056652333333333,0.2574509393333333,Tesla
2022-05-16,0.022572411,0.4081536,0.569274,0.021700501,0.3025384,0.67576104,Tesla
2023-05-16,0.4668013333333333,0.0368922306666666,0.4963064399999999,0.2460306033333333,0.2700898503333333,0.4838795333333333,Tesla
2024-05-16,0.01747175,0.90148836,0.08103988,0.022756878,0.8336921,0.143551,Tesla
