Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,headline,article_time,subheaders
2024-05-28 00:00:00-04:00,528.5648048650257,528.8040233513246,525.4149325584038,528.1062622070312,36269600,0.0,0.0,0.0,Stocks Fall as Weak Treasury Sale Lifts US Yields: Markets Wrap,"May 29, 2024 at 6:19 AM GMT+8","['A $44 billion auction of seven-year notes sees tepid demand', 'Fed’s Beige Book points to modest growth in US economy, prices']"
2024-05-29 00:00:00-04:00,523.9895707481159,525.6143340466289,523.6805700444107,524.408203125,45190300,0.0,0.0,0.0,Tech Rout Hits Stocks as Treasuries Gain After GDP: Markets Wrap,"May 30, 2024 at 6:23 AM GMT+8","['Economy grew at softer pace as spending, inflation marked down', 'S&P 500, Dow Industrials did not print for more than an hour']"
2024-05-30 00:00:00-04:00,522.8332742385177,523.5110802018719,519.6535301693403,520.9293823242188,46468500,0.0,0.0,0.0,S&P 500 Spikes in Final 20 Minutes of US Trading: Markets Wrap,"May 31, 2024 at 6:41 AM GMT+8","['BofA says a drop in US tech could be the next ‘pain trade’', 'Treasuries climb as inflation cooldown reinforces Fed-cut bets']"
2024-05-31 00:00:00-04:00,521.9063202695489,525.8037201273548,516.6930969914932,525.6741333007812,90785800,0.0,0.0,0.0,,,
2024-06-03 00:00:00-04:00,527.3188306057978,527.607876140248,520.9194318293966,526.1027221679688,46835700,0.0,0.0,0.0,Bonds Rally as Traders Reload Fed Bets After Data: Markets Wrap,"June 4, 2024 at 6:36 AM GMT+8","['US job openings fall to lowest since 2021 in broad cooldown', 'Fed swaps price in a first interest-rate cut in November']"
2024-06-04 00:00:00-04:00,524.7670705861944,527.448422715758,523.271894175781,526.6908569335938,34632700,0.0,0.0,0.0,S&P 500 Hits 25th Record This Year as Tech Soars: Markets Wrap,"June 5, 2024 at 6:31 AM GMT+8","['Nvidia tops $3 trillion in value to lead rally in megacaps', 'Treasury yields drop as traders boost bets on Fed rate cuts']"
2024-06-05 00:00:00-04:00,529.0632004530347,532.9705777122101,527.0297216284232,532.9506225585938,47610400,0.0,0.0,0.0,Wall Street Rally Takes a Breather Before US Jobs: Markets Wrap,"June 6, 2024 at 6:01 AM GMT+8","['There’s no consensus about market reaction to payrolls: 22V', 'ECB delivers landmark rate cut, but few signals on next steps']"
2024-06-06 00:00:00-04:00,533.2596521088368,533.6982396399549,530.9670603575372,532.940673828125,30808500,0.0,0.0,0.0,Treasury Yields Surge as Jobs Spark Rethink on Fed: Markets Wrap,"June 7, 2024 at 6:42 AM GMT+8","['Strong US payrolls and wage growth push back bets for Fed cuts', 'Traders no longer fully price in rate cut before December']"
2024-06-07 00:00:00-04:00,531.9438746415309,535.1635292517811,530.8274811096986,532.2927856445312,43224500,0.0,0.0,0.0,,,
2024-06-10 00:00:00-04:00,531.465433426715,534.2663948110896,530.8574096191727,533.9374389648438,35729300,0.0,0.0,0.0,Stocks Rise as Solid Treasury Sale Spurs CPI Bets: Markets Wrap,"June 11, 2024 at 6:14 AM GMT+8","['US yields slide after $39 billion auction draws strond demand', 'Investors positioning for US inflation, Fed meeting Wednesday']"
2024-06-11 00:00:00-04:00,532.3525840629304,535.2831322595525,530.3390603627206,535.2233276367188,36383400,0.0,0.0,0.0,Stock Bull Run Breaks Record on Fed Decision Day: Markets Wrap,"June 12, 2024 at 6:44 AM GMT+8","['S&P 500 tops 5,400 amid bets on at least two Fed cuts in 2024', 'That’s even after a more-conservative outlook from officials']"
2024-06-12 00:00:00-04:00,539.8882918577245,542.3702750607599,538.5625516876748,539.619140625,63251300,0.0,0.0,0.0,Tech Powers Stocks as Adobe Surges in Late Trading: Markets Wrap,"June 13, 2024 at 7:12 AM GMT+8","['US producer prices surprise with biggest decline since October', 'French bond rout deepens, driving spreads to widest since 2017']"
2024-06-13 00:00:00-04:00,541.4033885827131,541.5828024466692,537.8548390937426,540.7056274414062,44760900,0.0,0.0,0.0,,,
2024-06-14 00:00:00-04:00,539.1406924442229,541.064478826118,538.1139754213309,541.0346069335938,40089900,0.0,0.0,0.0,,,
2024-06-17 00:00:00-04:00,540.3368216574496,546.7660922184808,539.8683014251333,545.3406372070312,55839500,0.0,0.0,0.0,Stocks Rise as Bullish Nvidia Call Boosts AI Trade: Markets Wrap,"June 18, 2024 at 6:34 AM GMT+8","['Nvidia becomes world’s largest firm in record-breaking rally', 'Treasuries climb after solid demand in $13 billion US sale']"
2024-06-18 00:00:00-04:00,545.4004561707807,546.855783111693,544.9718462339583,546.7261962890625,41376400,0.0,0.0,0.0,European Stocks Struggle to Build on US Tech Rally: Markets Wrap,"June 19, 2024 at 6:36 AM GMT+8","['US futures steady in holiday trade after new record highs', 'European stocks, bonds slip as France tensions linger']"
2024-06-20 00:00:00-04:00,547.6731227203468,548.3509286873629,543.4268122209437,545.240966796875,70328200,0.0,0.0,0.0,S&P 500 Trading Volume Spikes at Wall Street Close: Markets Wrap,"June 21, 2024 at 5:55 AM GMT+8","['Around $5.5 trillion in options estimated to expire on Friday', 'Expiration coincided with index reshuffle by S&P Dow Jones']"
2024-06-21 00:00:00-04:00,544.4000244140625,545.6500244140625,543.02001953125,544.510009765625,64513900,1.759,0.0,0.0,,,
2024-06-24 00:00:00-04:00,544.3300170898438,546.9500122070312,542.6199951171875,542.739990234375,45528700,0.0,0.0,0.0,Tech Lifts US Stocks as FedEx Up 15% in Late Hours: Markets Wrap,"June 25, 2024 at 6:35 AM GMT+8","['Treasury 2-year note auction gets expected yield, good demand', 'US consumer confidence declines on weaker outlook for economy']"
2024-06-25 00:00:00-04:00,543.989990234375,545.2000122070312,542.4400024414062,544.8300170898438,38273300,0.0,0.0,0.0,Tech Giants Fall in Late Hours on Micron’s Outlook: Markets Wrap,"June 26, 2024 at 6:31 AM GMT+8","['Micron sinks after forecast fails to meet lofty expectations', 'Big banks sail through stress test in harbinger for payouts']"
2024-06-26 00:00:00-04:00,543.6900024414062,546.239990234375,543.030029296875,545.510009765625,38550600,0.0,0.0,0.0,Treasuries Up Before PCE as Nike Hit in Late Hours: Markets Wrap,"June 27, 2024 at 6:21 AM GMT+8","['US economy shows further signs of slowing under high rates', 'Traders gearing up for Fed’s favored inflation gauge Friday']"
2024-06-27 00:00:00-04:00,545.3699951171875,546.9600219726562,544.6099853515625,546.3699951171875,35041500,0.0,0.0,0.0,S&P 500 Rally Hits a Wall at End of Banner Quarter: Markets Wrap,"June 28, 2024 at 6:31 AM GMT+8","['US debate fallout spurs prison, oil stocks; renewables lag', 'Long-term Treasuries underperform shorter maturities']"
2024-06-28 00:00:00-04:00,547.1599731445312,550.280029296875,542.9500122070312,544.219970703125,76144500,0.0,0.0,0.0,,,
2024-07-01 00:00:00-04:00,545.6300048828125,545.8800048828125,542.52001953125,545.3400268554688,40297800,0.0,0.0,0.0,"S&P 500 Closes Above 5,500 in Record-Breaking Run: Markets Wrap","July 2, 2024 at 6:34 AM GMT+8","['Powell says data suggest inflation is back on downward path', 'Job openings unexpectedly increase from a three-year low']"
2024-07-02 00:00:00-04:00,543.7000122070312,549.010009765625,543.6500244140625,549.010009765625,40434800,0.0,0.0,0.0,,,
2024-07-03 00:00:00-04:00,548.6900024414062,551.8300170898438,548.6500244140625,551.4600219726562,32789900,0.0,0.0,0.0,,,
2024-07-05 00:00:00-04:00,551.77001953125,555.0499877929688,551.1199951171875,554.6400146484375,41488400,0.0,0.0,0.0,,,
2024-07-08 00:00:00-04:00,555.4400024414062,556.25,554.1900024414062,555.280029296875,36110500,0.0,0.0,0.0,S&P 500 Holds Gains as Fed Bets Steady on Powell: Markets Wrap,"July 9, 2024 at 6:32 AM GMT+8","['Powell flags risks to jobs while avoiding rate-cut timing', 'Short-term Treasuries outperform after Fed chief testimony']"
