,omega,alpha,beta,gamma,x,sample,omega_wo_exo,alpha_wo_exo,beta_wo_exo,omega_with_exo,alpha_with_exo,beta_with_exo,gamma_with_exo,without_exo_MSE,with_exo_MSE,without_exo_logll,with_exo_logll,without_exo_opt_suc,with_exo_opt_suc
34,0,0.08,0.85,2.8,"[[0.04], []]",34,2.4382109241596543,0.11582286343052549,0.82439550100219,0.001901796555630154,0.12183697708826363,0.8072254022768921,3.118258933600345,66.95451534408836,28.473629416337122,-3880.4619303735176,-3871.361165117787,True,True
35,0,0.08,0.85,2.8,"[[0.04], []]",35,3.05769384494761,0.09944292136048294,0.8304004028310905,0.44304632992719795,0.08256635759247868,0.8416537501942122,2.8209324191519065,61.845150688454765,7.981353979101776,-3932.5199688428547,-3921.92157049868,True,True
36,0,0.08,0.85,2.8,"[[0.04], []]",36,3.1803808704736505,0.10928945445525946,0.8180700354414766,0.08776005161323121,0.0877925341342561,0.841939852486518,2.9362365438843,65.44292276854681,8.619824268499022,-3931.4946776014544,-3922.059800305555,True,True
37,0,0.08,0.85,2.8,"[[0.04], []]",37,2.8240624195313835,0.11288604431758616,0.8074710135917853,0.0003268084835209309,0.09004390184338874,0.8443576343889432,2.3448773583599727,57.54328670912473,10.490059160642925,-3798.918574514881,-3783.8594571256695,True,True
38,0,0.08,0.85,2.8,"[[0.04], []]",38,2.973463763767693,0.09384170928911648,0.8354884213127082,0.025670994148831526,0.06098798047016069,0.8822343321168505,2.4018714801632997,67.62790456444095,12.586887788744576,-3918.073957795116,-3910.188047420327,True,True
39,0,0.08,0.85,2.8,"[[0.04], []]",39,3.445811011301113,0.15860496389120532,0.7694319465415251,0.005583376351669998,0.12766199962756766,0.80707631127953,3.0825241159780417,145.61901182488037,58.336109455176945,-3939.3046165020164,-3928.5173941630787,True,True
40,0,0.08,0.85,2.8,"[[0.04], []]",40,3.3085924071805457,0.1403616748863157,0.7736905296410838,0.029096784833649164,0.07453280935963974,0.8620153585166703,2.42358132733231,82.74057091459295,5.768311257669821,-3832.405176128203,-3823.5969486292615,True,True
41,0,0.08,0.85,2.8,"[[0.04], []]",41,2.9992770498705625,0.13644289369216245,0.8054487407201362,0.0003404166515534342,0.10643415006692326,0.8089689163091665,4.20031669648272,118.68735241607618,50.74734481282202,-3999.1401544629543,-3980.781208445943,True,True
42,0,0.08,0.85,2.8,"[[0.04], []]",42,8.381566077503594,0.1293868198137567,0.6369318112006283,0.46376162121098496,0.06072996909656615,0.8208042970183762,3.8512543994816437,79.77362854663785,22.178598657530614,-3827.135748132964,-3808.257639267956,True,True
43,0,0.08,0.85,2.8,"[[0.04], []]",43,2.32038151196973,0.11562520815282068,0.8211508524867076,0.022051490210089512,0.12102357566381035,0.8165634506797922,2.426521234202478,58.8548295105884,18.27805322121192,-3811.2930338146098,-3801.334005410754,True,True
44,0,0.08,0.85,2.8,"[[0.04], []]",44,1.865726482388792,0.09247851618872976,0.8636366171000819,2.0209423336119292e-05,0.0724372290165249,0.8602036585610158,2.71215537844177,54.48860508354212,6.03726954176959,-3896.27146910387,-3880.425140749505,True,True
45,0,0.08,0.85,2.8,"[[0.04], []]",45,3.332536390260923,0.0863650441645348,0.8311403309568423,0.3265939064538882,0.07718134046881774,0.8612209699993458,2.2513878139572956,56.738539085376495,7.546329048378508,-3896.715661368886,-3889.0059219167465,True,True
46,0,0.08,0.85,2.8,"[[0.04], []]",46,4.936892715337902,0.08927953170697099,0.7930887730196652,0.07101408994583927,0.06527278400239081,0.8328149633000063,4.114224345967623,74.24365078826962,22.819314945465905,-3924.505747742234,-3901.9054409219993,True,True
47,0,0.08,0.85,2.8,"[[0.04], []]",47,2.640299869243305,0.11270495850626155,0.8225180167658619,8.798151168723953e-06,0.10324973837501115,0.8197349570879514,3.1804753616417276,58.44244428997143,10.195254227301872,-3869.1792968315053,-3854.738878843539,True,True
48,0,0.08,0.85,2.8,"[[0.04], []]",48,2.0691473958174638,0.09234425422150237,0.8583674948504049,0.00016398694463937998,0.09451350444664426,0.8227051055522031,3.201702736510745,86.07587398053357,9.372158846662357,-3898.534157520291,-3880.996615545628,True,True
49,0,0.08,0.85,2.8,"[[0.04], []]",49,1.961134080254565,0.08801330994206115,0.8667969219429301,0.0017840485325083392,0.09801046139124273,0.829301660800375,3.1371291667132932,77.68555628322635,12.724238452566555,-3927.021187323082,-3907.4116837992933,True,True
50,0,0.15,0.8,0.45,"[[0.04], []]",0,0.5337022966897783,0.1642987688269618,0.758016257433238,0.04490298363502511,0.15069886410971772,0.7735770296929211,0.5038792142745218,1.3563781971095017,0.43517529877676575,-2780.2266731479763,-2769.483408578648,True,True
51,0,0.15,0.8,0.45,"[[0.04], []]",1,0.28977806668566986,0.14344267227781357,0.8297081387595181,9.4732760309961e-07,0.1480030390829559,0.8076854540035707,0.47098157271287505,2.482950531786487,0.45986454710051117,-2991.4444276696654,-2980.047683357444,True,True
